Student_#,Assessment_Only_Weighted_Score,Traditional_Weighted_Score,Disability,Race,FRL,Gender
753,61.71,54.636,No,Black,Yes,Female
754,68.93,62.43,No,Black,Yes,Female
755,72.61,65.578,No,Black,Yes,Male
756,43.65,41.733,Yes,Black,Yes,Female
757,61.17,62.979,Yes,White,No,Male
758,24.52,24.307,Yes,Black,Yes,Female
759,72.07,66.459,No,Other,No,Female
760,55.99,44.721,No,White,Yes,Female
761,58.65,56.362,Yes,Black,No,Male
762,94.2,89.925,No,White,Yes,Male
763,77.65,67.244,No,White,Yes,Male
764,62.8,61.768,Yes,Hispanic,Yes,Female
765,69.95,60.564,No,Black,Yes,Male
766,77.11,80.773,No,White,No,Female
767,91.28,89.159,No,White,No,Male
768,61.71,61.232,No,Black,Yes,Male
769,76.83,75.217,No,Hispanic,Yes,Male
770,71.66,65.439,Yes,Black,No,Male
771,92.74,78.885,No,White,Yes,Female
772,90.73,83.598,Yes,White,Yes,Male
773,94.55,97.384,No,White,No,Female
774,87.87,91.647,No,White,Yes,Male
775,72.61,74.783,Yes,Black,Yes,Female
776,3.4,3.14,Yes,White,Yes,Male
777,50.27,50.771,No,Other,Yes,Female
778,76.29,77.213,No,Black,Yes,Female
779,91,81.244,No,Black,Yes,Male
