Student_#,Assessment_Only_Weighted_Score,Traditional_Weighted_Score,Disability,Race,FRL,Gender
272,74.02,78.287,No,White,No,Male
273,81.03,82.887,No,Hispanic,Yes,Female
274,79.27,81.154,No,Black,Yes,Female
275,65.36,72.92,No,White,Yes,Female
276,35.36,30.124,No,Black,Yes,Female
277,73.6,80.41,No,Black,No,Female
278,73.81,75.543,No,White,Yes,Female
279,85.56,82.34,No,White,Yes,Male
280,56.28,48.706,No,Black,Yes,Female
281,75.67,83.627,No,White,Yes,Female
282,76.18,71.79,No,White,Yes,Male
283,72.26,76.98,No,Hispanic,Yes,Male
284,74.94,72.435,Yes,White,No,Female
285,64.74,64.75,No,White,No,Male
286,28.86,30.243,No,White,No,Male
287,65.56,71.365,No,Black,Yes,Male
288,82.63,91.114,Yes,White,Yes,Male
289,80.7,82.552,No,Black,Yes,Female
290,70.41,59.865,No,White,Yes,Male
291,79.07,81.999,No,Black,Yes,Female
292,82.37,88.475,No,White,No,Female
293,79.79,85.451,No,Asian,No,Female
294,46.59,37.455,No,Black,Yes,Male
295,66.39,60.793,No,White,No,Male
296,78.45,72.034,No,Black,Yes,Female
297,74.22,80.174,No,Black,No,Female
298,33.71,41.784,No,Black,Yes,Female
299,63.71,70.73,No,Black,Yes,Female
300,67.93,72.102,No,Black,Yes,Male
301,82.06,83.358,No,Hispanic,Yes,Male
302,94.4,91.637,No,Black,Yes,Male
303,6.66,13.621,No,Black,Yes,Male
304,69.33,74.905,No,Black,Yes,Male
305,70.66,76.774,Yes,Other,Yes,Male
306,65.06,61.443,No,Black,Yes,Female
307,72.13,75.303,No,White,Yes,Female
308,76,73.657,No,Hispanic,Yes,Male
309,88.8,88.091,No,White,Yes,Female
310,78.6,83.644,No,White,No,Female
311,72.26,66.717,Yes,White,No,Male
312,75.13,71.986,No,White,Yes,Female
313,67.26,62.266,No,White,Yes,Male
314,70.73,66.614,No,Hispanic,Yes,Female
315,73.66,68.932,No,White,No,Female
316,38.6,35.491,No,Hispanic,Yes,Female
317,74.66,72.521,No,White,No,Female
318,82.93,79.544,No,Black,Yes,Male
319,93.33,90.953,No,Black,Yes,Female
320,39,35.752,No,White,Yes,Female
321,14.33,14.333,No,Hispanic,Yes,Male
322,83.8,78.227,No,White,No,Male
323,91.66,84.238,No,White,Yes,Female
324,53.86,59.518,No,Black,Yes,Female
325,90.66,90.253,No,Black,No,Female
326,93.86,84.947,No,White,Yes,Male
327,30.6,30.443,No,Black,Yes,Female
328,83.2,87.361,No,White,Yes,Female
329,66.53,63.71,No,White,Yes,Male
330,67.06,71.523,No,Hispanic,Yes,Male
331,49.26,47.53,Yes,White,No,Female
332,68.26,62.729,No,White,No,Male
333,64.06,69.048,No,Black,Yes,Male
334,71.2,70.891,Yes,White,Yes,Male
335,69.93,66.234,No,White,Yes,Female
336,70.66,63.949,No,White,Yes,Male
337,92.66,94.092,No,White,No,Female
338,87.53,91.152,No,Asian,No,Female
339,15.2,18.268,No,White,No,Male
340,79.33,79.351,No,Black,No,Female
341,13.6,23.793,No,Black,Yes,Female
342,58.93,59.617,No,Black,Yes,Male
343,74.13,72.912,No,Hispanic,Yes,Male
344,59.2,64.295,No,Black,Yes,Female
345,52.2,50.887,No,Other,Yes,Female
346,24.53,22.335,No,White,Yes,Male
347,82,72.968,No,Hispanic,Yes,Male
348,98.15,92.463,No,Black,No,Female
349,57.06,59.601,No,Black,Yes,Female
350,81.6,75.543,No,White,No,Female
351,90.66,91.614,No,White,No,Female
352,51.4,53.179,No,Black,Yes,Female
353,68.8,66.643,No,Hispanic,Yes,Male
354,74.33,76.385,No,Other,Yes,Male
355,44.46,46.281,No,Black,Yes,Male
356,4.93,12.96,No,Black,Yes,Male
357,87.73,83.156,No,Black,Yes,Female
358,62.93,69.026,No,White,Yes,Female
359,69.4,72.761,No,White,Yes,Female
360,76.46,75.997,No,White,No,Female
361,87.13,87.158,No,White,No,Male
362,83.33,84.507,No,Hispanic,Yes,Female
363,76.46,76.892,No,Black,Yes,Female
364,70.46,74.992,No,White,Yes,Female
365,75.46,81.24,No,Black,No,Female
366,47.9,59.589,No,Black,Yes,Female
367,59.6,56.228,No,Black,Yes,Female
368,67.56,70.288,No,Black,Yes,Male
369,3.67,8.066,Yes,Black,Yes,Female
370,72.2,76.498,No,Black,Yes,Female
371,54.54,59.927,No,Black,Yes,Male
372,70.8,79.074,No,Other,Yes,Male
373,49.82,46.532,No,Black,No,Male
374,39.16,33.163,No,Black,Yes,Female
375,56.99,54.803,No,Black,Yes,Female
376,66.95,68.654,No,Other,Yes,Male
377,63.81,60.73,No,White,No,Male
378,75.43,69.249,No,White,No,Male
379,80.24,84.117,No,Black,Yes,Female
380,62.32,66.256,No,White,Yes,Female
381,78.23,77.715,No,White,Yes,Male
382,63.54,70.917,No,Hispanic,Yes,Female
383,87.76,80.635,No,White,Yes,Female
384,51.66,42.825,Yes,White,Yes,Male
385,92.74,94.165,No,White,No,Female
386,66.17,69.697,No,Black,Yes,Female
387,32.69,36.146,No,White,Yes,Female
388,48.68,59.712,No,White,No,Male
389,76.8,75.827,No,Black,Yes,Female
390,36.53,51.509,No,White,Yes,Female
391,80.68,76.785,No,Hispanic,Yes,Female
392,74.47,63.872,No,Hispanic,Yes,Male
393,69.93,76.125,No,White,No,Female
394,63.11,65.015,No,Black,Yes,Male
395,62.06,65.279,No,White,No,Female
396,94.75,93.68,No,White,Yes,Female
397,60.48,55.177,No,Black,Yes,Female
398,65.9,72.103,No,Hispanic,Yes,Female
399,62.93,69.656,No,Black,Yes,Female
400,86.71,88.853,No,Black,Yes,Male
401,84.52,85.828,No,Hispanic,No,Male
402,81.99,71.918,No,Black,Yes,Female
403,87.67,91.449,No,Asian,No,Female
404,53.75,60.374,Yes,Black,Yes,Female
405,70.27,62.907,No,White,Yes,Male
406,33.56,39.85,No,Hispanic,No,Female
407,96.41,93.806,No,White,Yes,Female
408,75.52,68.833,No,Hispanic,Yes,Male
409,64.94,69.47,No,Black,Yes,Female
410,70.89,77.643,No,White,Yes,Female
411,65.29,74.353,No,Black,Yes,Female
412,74.56,77.796,No,Black,Yes,Female
413,56.29,53.808,No,Black,Yes,Male
414,87.58,91.19,No,White,No,Male
415,62.23,72.391,No,White,No,Female
416,40.91,41.168,No,Black,Yes,Female
417,83.41,86.062,No,Hispanic,Yes,Female
418,79.83,85.727,No,Black,Yes,Female
419,85.5,80.19,No,White,Yes,Female
420,69.66,78.633,No,Other,Yes,Male
421,75.83,76.248,No,Other,Yes,Male
422,33.33,41.935,No,White,No,Male
423,59.41,62.365,No,Black,Yes,Male
424,73.33,78.764,No,Black,Yes,Female
425,83.66,83.355,No,White,Yes,Male
426,62.5,70.253,No,Hispanic,Yes,Female
427,76.5,72.423,No,Other,Yes,Male
428,89.83,92.985,No,White,No,Female
429,22.91,30.603,No,Black,Yes,Female
430,52.91,62.227,No,White,No,Male
431,47.83,50.178,No,White,Yes,Male
432,75.25,73.467,No,Black,Yes,Female
433,57.83,59.794,No,White,Yes,Female
434,94.83,79.657,No,Hispanic,Yes,Male
435,60.75,60.477,No,Black,Yes,Female
436,68,66.186,No,Black,Yes,Male
437,66.41,74.973,No,White,No,Female
438,57.25,53.592,No,Black,Yes,Male
439,44,48.576,No,White,No,Female
440,55.25,55.556,No,Black,Yes,Female
441,55.75,53.05,No,Hispanic,Yes,Female
442,58.41,65.085,No,Black,Yes,Female
443,77.5,81.418,No,Black,Yes,Male
444,80,84.08,No,Hispanic,No,Male
445,76.5,74.401,No,Black,Yes,Female
446,88.91,91.332,No,Asian,No,Female
447,62.08,64.849,Yes,Black,Yes,Female
448,87.16,81.64,No,White,Yes,Female
449,82.75,80.764,No,Hispanic,Yes,Male
450,50.91,57.639,No,Black,Yes,Female
451,58.25,66.185,No,Black,Yes,Female
452,63.41,59.031,No,Black,Yes,Male
453,79.41,82.309,No,White,No,Male
454,75.3,77.502,No,White,No,Male
455,54.32,60.688,No,White,No,Male
456,69.62,77.908,No,White,Yes,Female
457,53.33,62.083,No,Black,Yes,Female
458,45.67,54.349,No,Hispanic,Yes,Female
459,69.62,75.765,No,White,Yes,Female
460,60,70.348,No,Other,No,Male
461,60.74,68.708,Yes,Black,No,Male
462,42.71,54.689,No,White,No,Male
463,68.88,75.676,No,White,No,Male
464,33.58,51.172,No,Black,Yes,Male
465,84.93,88.021,No,Other,Yes,Male
466,70.86,72.808,No,Black,Yes,Female
467,51.11,63.475,No,Black,Yes,Female
468,87.16,89.804,No,White,No,Male
469,64.93,67.675,No,White,Yes,Male
470,79.5,86.442,No,White,Yes,Female
471,87.4,91.94,No,White,Yes,Female
472,47.4,60.29,No,Hispanic,Yes,Female
473,65.43,61.26,No,Other,Yes,Female
474,58.51,69.909,No,White,Yes,Male
475,66.91,76.043,No,White,No,Female
476,80.93,83.631,No,White,No,Male
477,67.6,74.892,No,White,Yes,Female
478,57.09,60.756,No,Hispanic,Yes,Male
479,11.6,18.6,No,Black,Yes,Female
480,84.84,89.55,No,White,Yes,Female
481,71.27,74.871,No,White,Yes,Female
482,50.24,54.61,Yes,Black,No,Male
483,68.21,72.779,No,White,Yes,Female
484,63.86,75.246,No,White,Yes,Female
485,82.51,81.789,No,White,No,Male
486,69.19,74.989,No,Other,Yes,Male
487,42.17,50.552,No,Black,Yes,Male
488,88.99,90.161,No,White,No,Male
489,89.24,93.1,No,White,Yes,Female
490,55.2,63.908,No,Hispanic,Yes,Female
491,52.15,54.593,No,Other,Yes,Female
492,38.87,56.453,No,White,Yes,Male
493,68.09,73.695,No,White,No,Female
494,80.89,86.292,No,Black,Yes,Female
495,58.92,65.033,No,White,Yes,Male
496,73.48,75.911,Yes,White,No,Female
497,74.83,76.849,No,White,No,Male
498,70.2,71.468,No,Black,Yes,Male
499,79.37,82.297,No,Black,Yes,Female
500,25,33.958,Yes,Black,Yes,Male
501,68.93,76.207,No,Black,Yes,Female
502,86.95,90.463,No,White,Yes,Female
503,91.58,89.581,No,Black,Yes,Female
504,91.24,93.868,No,Black,Yes,Female
505,80.05,85.961,No,Hispanic,Yes,Male
506,92.5,93.257,No,Black,Yes,Male
507,75,79.863,No,Black,Yes,Female
508,76.43,80.687,No,Asian,No,Female
509,100.16,100.112,No,White,Yes,Female
510,66.32,62.828,No,Other,Yes,Male
511,57.4,67.557,No,White,Yes,Female
512,95.79,97.053,No,White,Yes,Male
513,79.46,81.126,Yes,Black,Yes,Male
514,88.29,88.558,No,Hispanic,Yes,Female
515,97.55,97.631,No,Hispanic,Yes,Male
516,83.5,87.972,No,White,Yes,Female
517,52.44,61.594,No,Black,Yes,Female
518,63.88,70.99,No,White,Yes,Female
519,73.17,80.373,No,Black,Yes,Female
520,61.49,62.602,No,White,Yes,Male
521,64.63,69.475,Yes,White,No,Female
522,76.82,78.826,No,White,No,Male
523,72.82,76.161,No,Black,Yes,Female
524,55.22,65.316,No,Black,Yes,Male
525,64.45,65.412,No,Black,Yes,Female
526,52.09,61.407,No,Black,Yes,Female
527,77.52,79.868,No,White,Yes,Female
528,88.85,85.065,No,Black,Yes,Female
529,82.05,83.916,No,Black,Yes,Female
530,77.87,83.726,No,Hispanic,Yes,Male
531,47.56,59.567,No,Black,Yes,Female
532,72.99,74.541,No,Asian,No,Female
533,95.81,96.832,No,White,Yes,Female
534,69.68,67.004,No,Other,Yes,Male
535,63.93,74.657,No,White,Yes,Female
536,90.24,93.168,No,White,Yes,Male
537,68.98,74.588,Yes,Black,Yes,Male
538,45.81,41.049,No,Hispanic,Yes,Female
539,91.81,92.428,No,Hispanic,Yes,Male
540,75.08,81.38,No,White,Yes,Female
541,50.52,62.192,No,Black,Yes,Female
542,52.26,62.784,No,White,No,Female
543,47.21,61.875,No,White,Yes,Female
544,71.59,67.137,No,Other,Yes,Female
545,81.68,87.83,No,White,No,Female
546,67.97,76.005,No,Other,Yes,Female
547,73.82,76.051,No,Black,Yes,Female
548,85.39,87.846,No,Black,No,Male
549,56.62,67.568,No,Black,No,Female
550,75.16,75.493,No,White,Yes,Male
551,71.46,73.981,No,Hispanic,Yes,Male
552,64.04,74.793,No,White,Yes,Female
553,64.94,72.753,No,Black,Yes,Male
554,69.1,70.087,No,White,No,Male
555,65.39,68.728,No,Black,Yes,Male
556,66.06,73.217,No,Black,No,Male
557,24.94,32.784,No,Black,Yes,Female
558,73.59,80.258,No,Black,Yes,Male
559,82.47,88.383,No,Black,Yes,Female
560,60.67,71.037,No,White,No,Male
561,56.21,67.071,Yes,Hispanic,Yes,Male
562,68.2,75.748,No,White,No,Female
563,79.43,72.722,No,Black,No,Male
564,59.66,70.835,No,White,No,Male
565,61.57,70.737,No,Black,Yes,Male
566,79.22,81.351,Yes,Black,No,Male
567,71.34,80.592,No,White,Yes,Female
568,61.12,67.226,No,Black,No,Female
569,90.12,93.194,No,White,No,Female
570,84.62,88.998,No,Other,Yes,Female
571,68.12,67.367,No,Black,Yes,Female
572,72.5,73.559,No,Black,Yes,Female
573,56.25,63.824,No,Black,No,Female
574,75.5,73.566,No,White,Yes,Male
575,85.62,85.76,Yes,White,No,Male
576,78.12,78.551,No,Hispanic,Yes,Male
577,68.12,74.836,No,Black,Yes,Male
578,86.12,88.918,No,White,No,Male
579,77.62,81.551,No,Black,No,Male
580,46.25,41.903,No,White,Yes,Male
581,61.5,70.14,No,White,No,Male
582,57.62,66.821,Yes,Hispanic,Yes,Male
583,69,68.279,No,White,No,Female
584,76.37,66.772,No,Black,No,Male
585,75.62,79.37,No,White,No,Male
586,85.37,89.759,No,White,Yes,Female
587,66.51,64.786,No,Hispanic,Yes,Male
588,46.3,48.437,No,Black,Yes,Male
589,70.09,72.565,No,White,Yes,Male
590,58.66,52.644,No,Black,No,Female
591,51.03,43.11,Yes,White,Yes,Male
592,72.86,77.485,No,White,No,Female
593,64.78,61.939,No,Hispanic,Yes,Male
594,83.37,76.559,Yes,White,No,Male
595,29.67,27.392,Yes,Black,Yes,Male
596,95.38,91.217,No,Black,Yes,Male
597,95.03,92.903,No,Hispanic,Yes,Male
598,36.48,31.953,Yes,Black,Yes,Male
599,75.28,62.825,Yes,White,Yes,Male
600,91.22,87.551,No,White,Yes,Male
601,39.95,38.439,Yes,White,Yes,Female
602,70.55,60.243,No,White,Yes,Female
603,83.14,78.662,No,Hispanic,Yes,Male
604,80.94,67.126,No,White,No,Male
605,91.1,89.38,No,Black,Yes,Female
606,46.53,49.711,Yes,White,Yes,Male
607,82.56,76.21,No,White,No,Male
608,91.68,93.297,No,White,No,Male
609,69.28,61.525,No,Hispanic,Yes,Male
610,91.68,80.878,Yes,White,Yes,Male
611,76.78,76.091,No,White,Yes,Male
612,75.28,65.211,No,Hispanic,Yes,Male
613,88.68,83.593,No,White,Yes,Male
614,91.45,88.34,No,White,Yes,Male
615,92.37,87.976,No,White,Yes,Female
616,73.32,72.713,No,Other,Yes,Female
617,86.48,78.866,No,White,Yes,Male
618,67.55,64.767,No,Black,Yes,Male
619,81.87,80.182,No,Black,Yes,Male
620,74.48,73.378,No,Black,Yes,Male
621,91.91,90.458,No,White,Yes,Female
622,51.38,47.82,No,Black,Yes,Female
